date,event
26-01-2022,Republic Day
01-03-2022,Mahashivratri
18-03-2022,Holi
14-04-2022,Mahavir Jayanti
15-04-2022,Good Friday
03-05-2022,Id-Ul-Fitr
09-08-2022,Muharram
15-08-2022,Independence Day
31-08-2022,Ganesh Chaturthi
05-10-2022,Dussehra
24-10-2022,Diwali
26-10-2022,Diwali
08-11-2022,Gurunanak Jayanti
